Snapshot,Redshift,LBT,dx
019,15.554721,13.523800,0.966496
020,13.612885,13.470652,1.094929
021,11.683815,13.396988,1.261456
022,9.988802,13.304580,1.456034
023,9.684819,13.284074,1.497458
024,9.543608,13.274041,1.517514
025,9.400131,13.263500,1.538449
026,9.267290,13.253409,1.558354
027,9.139117,13.243359,1.578053
028,8.893551,13.223193,0.808611
029,8.778047,13.213267,0.818163
030,8.666444,13.203398,0.827609
031,8.455649,13.183959,0.846059
032,8.355551,13.174342,0.855111
033,8.174484,13.156276,0.871987
034,7.999337,13.137940,0.888958
035,7.915587,13.128853,0.897309
036,7.758315,13.111197,0.913422
037,7.597814,13.092348,0.930473
038,7.439765,13.072906,0.947898
039,7.303730,13.055429,0.963427
040,7.165570,13.036933,0.979728
041,7.095128,13.027204,0.988253
042,6.960229,13.007961,1.005001
043,6.830832,12.988724,1.021607
044,6.702480,12.968842,1.038631
045,6.579410,12.948990,1.055496
046,6.460904,12.929099,1.072261
047,6.343500,12.908601,1.089403
048,6.187642,12.880094,1.113026
049,6.086672,12.860794,1.128885
050,5.988520,12.841363,1.144739
051,5.893843,12.821956,1.160461
052,5.761454,12.793696,1.183182
053,5.676952,12.774915,1.198157
054,5.571501,12.750640,1.217383
055,5.464131,12.724909,1.237604
056,5.354196,12.697441,1.259016
057,5.252396,12.670927,1.279515
058,5.152584,12.643867,1.300272
059,5.058296,12.617283,1.320509
060,4.946066,12.584267,1.345433
061,4.861740,12.558430,1.364788
062,4.778472,12.531985,1.384455
063,4.681443,12.499961,1.408099
064,4.582214,12.465771,1.433129
065,4.505917,12.438443,1.452988
066,4.411051,12.403123,1.478462
067,4.319390,12.367503,1.503938
068,4.226601,12.329869,1.530638
069,4.161262,12.302362,1.550015
070,4.074368,12.264411,1.576558
071,3.992269,12.227046,0.801242
072,3.916427,12.191158,0.813603
073,3.829494,12.148291,0.828248
074,3.749548,12.107162,0.842189
075,3.686346,12.073420,0.853547
076,3.624050,12.039038,0.865046
077,3.607859,12.029908,0.868086
078,3.530361,11.985126,0.882936
079,3.453076,11.938546,0.898259
080,3.394423,11.901838,0.910249
081,3.314160,11.849620,0.927183
082,3.250565,11.806517,0.941055
083,3.186598,11.761520,0.955434
084,3.111296,11.706371,0.972933
085,3.050539,11.660016,0.987527
086,2.979677,11.603773,1.005111
087,2.924834,11.558515,1.019156
088,2.858625,11.501795,1.036643
089,2.847836,11.492313,1.039550
090,2.795498,11.445444,1.053885
091,2.740256,11.394223,1.069450
092,2.679680,11.335898,1.087056
093,2.618285,11.274360,1.105501
094,2.562330,11.216012,1.122865
095,2.506421,11.155454,1.140769
096,2.446762,11.088194,1.160515
097,2.395107,11.027645,1.178171
098,2.336062,10.955649,1.199024
099,2.283583,10.889026,1.218187
100,2.231813,10.820745,1.237701
101,2.183955,10.755259,1.256305
102,2.130429,10.679132,1.277786
103,2.082201,10.607842,1.297780
104,2.029765,10.527214,1.320240
105,1.985118,10.455936,1.339986
106,1.937275,10.376653,1.361812
107,1.890220,10.295633,1.383984
108,1.842036,10.209359,1.407448
109,1.798125,10.127695,1.429535
110,1.753471,10.041466,1.452718
111,1.711672,9.957760,1.475111
112,1.664666,9.859921,1.501132
113,1.624167,9.772299,1.524300
114,1.581503,9.676562,1.549492
115,1.545710,9.593355,1.571278
116,1.541083,9.582403,1.574139
117,1.498810,9.480149,0.800384
118,1.460073,9.382886,0.812987
119,1.421671,9.282927,0.825880
120,1.381695,9.174930,0.839742
121,1.367079,9.134432,0.844927
122,1.345768,9.074286,0.852603
123,1.307213,8.962328,0.866850
126,1.272090,8.856572,0.880251
127,1.235158,8.741342,0.894795
133,1.198829,8.623758,0.909579
139,1.162417,8.501475,0.924895
145,1.129748,8.387804,0.939082
152,1.090889,8.247441,0.956535
158,1.062210,8.140201,0.969838
165,1.029619,8.014223,0.985411
172,0.995386,7.877090,1.002317
177,0.969940,7.771810,1.015264
185,0.932703,7.612411,1.034824
192,0.901653,7.474394,1.051721
198,0.872718,7.341389,1.067971
205,0.842169,7.196239,1.085681
212,0.812585,7.050688,1.103402
219,0.784451,6.907687,1.120797
224,0.765254,6.807411,1.132986
229,0.755422,6.755192,1.139332
243,0.728226,6.607541,1.157261
257,0.700456,6.451776,1.176160
271,0.672860,6.291831,1.195562
285,0.645668,6.129012,1.215317
296,0.625361,6.004000,1.230501
