Aexp,Conformal_time,Look_back_time(Gyr)
0.001228449,-100.000000000,13.781361264
0.001228685,-99.990000000,13.781361049
0.001228921,-99.980000000,13.781360833
0.001229157,-99.970000000,13.781360617
0.001229393,-99.960000000,13.781360401
0.001229629,-99.950000000,13.781360185
0.001229865,-99.940000000,13.781359969
0.001230103,-99.930000000,13.781359751
0.001230339,-99.920000000,13.781359535
0.001230575,-99.910000000,13.781359319
0.001230811,-99.900000000,13.781359103
0.001231048,-99.890000000,13.781358886
0.001231284,-99.880000000,13.781358670
0.001231522,-99.870000000,13.781358452
0.001231758,-99.860000000,13.781358235
0.001231995,-99.850000000,13.781358019
0.001232231,-99.840000000,13.781357802
0.001232469,-99.830000000,13.781357584
0.001232706,-99.820000000,13.781357367
0.001232942,-99.810000000,13.781357150
0.001233179,-99.800000000,13.781356933
0.001233417,-99.790000000,13.781356715
0.001233654,-99.780000000,13.781356498
0.001233892,-99.770000000,13.781356280
0.001234129,-99.760000000,13.781356063
0.001234366,-99.750000000,13.781355845
0.001234604,-99.740000000,13.781355627
0.001234841,-99.730000000,13.781355409
0.001235080,-99.720000000,13.781355191
0.001235317,-99.710000000,13.781354973
0.001235555,-99.700000000,13.781354755
0.001235793,-99.690000000,13.781354537
0.001236031,-99.680000000,13.781354318
0.001236268,-99.670000000,13.781354100
0.001236507,-99.660000000,13.781353881
0.001236746,-99.650000000,13.781353662
0.001236983,-99.640000000,13.781353444
0.001237222,-99.630000000,13.781353225
0.001237461,-99.620000000,13.781353006
0.001237698,-99.610000000,13.781352788
0.001237937,-99.600000000,13.781352568
0.001238176,-99.590000000,13.781352349
0.001238414,-99.580000000,13.781352130
0.001238653,-99.570000000,13.781351911
0.001238892,-99.560000000,13.781351691
0.001239131,-99.550000000,13.781351472
0.001239370,-99.540000000,13.781351252
0.001239608,-99.530000000,13.781351033
0.001239848,-99.520000000,13.781350813
0.001240087,-99.510000000,13.781350593
0.001240326,-99.500000000,13.781350373
0.001240566,-99.490000000,13.781350153
0.001240805,-99.480000000,13.781349933
0.001241045,-99.470000000,13.781349713
0.001241284,-99.460000000,13.781349493
0.001241524,-99.450000000,13.781349272
0.001241764,-99.440000000,13.781349052
0.001242003,-99.430000000,13.781348831
0.001242243,-99.420000000,13.781348611
0.001242483,-99.410000000,13.781348390
0.001242723,-99.400000000,13.781348170
0.001242962,-99.390000000,13.781347949
0.001243202,-99.380000000,13.781347728
0.001243442,-99.370000000,13.781347507
0.001243682,-99.360000000,13.781347287
0.001243924,-99.350000000,13.781347064
0.001244164,-99.340000000,13.781346843
0.001244404,-99.330000000,13.781346622
0.001244644,-99.320000000,13.781346401
0.001244886,-99.310000000,13.781346179
0.001245126,-99.300000000,13.781345957
0.001245366,-99.290000000,13.781345736
0.001245607,-99.280000000,13.781345515
0.001245848,-99.270000000,13.781345292
0.001246089,-99.260000000,13.781345071
0.001246329,-99.250000000,13.781344849
0.001246571,-99.240000000,13.781344626
0.001246812,-99.230000000,13.781344404
0.001247053,-99.220000000,13.781344181
0.001247294,-99.210000000,13.781343960
0.001247535,-99.200000000,13.781343738
0.001247777,-99.190000000,13.781343515
0.001248018,-99.180000000,13.781343292
0.001248260,-99.170000000,13.781343069
0.001248501,-99.160000000,13.781342847
0.001248743,-99.150000000,13.781342624
0.001248985,-99.140000000,13.781342400
0.001249227,-99.130000000,13.781342178
0.001249469,-99.120000000,13.781341954
0.001249710,-99.110000000,13.781341732
0.001249953,-99.100000000,13.781341508
0.001250195,-99.090000000,13.781341284
0.001250436,-99.080000000,13.781341061
0.001250679,-99.070000000,13.781340838
0.001250922,-99.060000000,13.781340614
0.001251163,-99.050000000,13.781340391
0.001251406,-99.040000000,13.781340167
0.001251649,-99.030000000,13.781339942
0.001251891,-99.020000000,13.781339718
0.001252134,-99.010000000,13.781339494
0.001252376,-99.000000000,13.781339271
0.001252619,-98.990000000,13.781339046
0.001252862,-98.980000000,13.781338822
0.001253105,-98.970000000,13.781338597
0.001253348,-98.960000000,13.781338372
0.001253591,-98.950000000,13.781338148
0.001253835,-98.940000000,13.781337923
0.001254078,-98.930000000,13.781337698
0.001254321,-98.920000000,13.781337473
0.001254565,-98.910000000,13.781337248
0.001254808,-98.900000000,13.781337023
0.001255051,-98.890000000,13.781336798
0.001255295,-98.880000000,13.781336573
0.001255539,-98.870000000,13.781336348
0.001255782,-98.860000000,13.781336122
0.001256026,-98.850000000,13.781335897
0.001256269,-98.840000000,13.781335672
0.001256513,-98.830000000,13.781335446
0.001256757,-98.820000000,13.781335221
0.001257002,-98.810000000,13.781334994
0.001257246,-98.800000000,13.781334768
0.001257490,-98.790000000,13.781334542
0.001257734,-98.780000000,13.781334317
0.001257979,-98.770000000,13.781334090
0.001258223,-98.760000000,13.781333864
0.001258467,-98.750000000,13.781333638
0.001258711,-98.740000000,13.781333412
0.001258957,-98.730000000,13.781333184
0.001259201,-98.720000000,13.781332958
0.001259446,-98.710000000,13.781332732
0.001259691,-98.700000000,13.781332504
0.001259936,-98.690000000,13.781332278
0.001260181,-98.680000000,13.781332050
0.001260426,-98.670000000,13.781331824
0.001260672,-98.660000000,13.781331596
0.001260916,-98.650000000,13.781331369
0.001261162,-98.640000000,13.781331141
0.001261407,-98.630000000,13.781330914
0.001261653,-98.620000000,13.781330686
0.001261898,-98.610000000,13.781330459
0.001262144,-98.600000000,13.781330231
0.001262389,-98.590000000,13.781330004
0.001262635,-98.580000000,13.781329776
0.001262881,-98.570000000,13.781329548
0.001263126,-98.560000000,13.781329320
0.001263372,-98.550000000,13.781329092
0.001263619,-98.540000000,13.781328863
0.001263864,-98.530000000,13.781328636
0.001264110,-98.520000000,13.781328407
0.001264357,-98.510000000,13.781328178
0.001264603,-98.500000000,13.781327949
0.001264849,-98.490000000,13.781327722
0.001265095,-98.480000000,13.781327493
0.001265342,-98.470000000,13.781327264
0.001265589,-98.460000000,13.781327035
0.001265836,-98.450000000,13.781326805
0.001266083,-98.440000000,13.781326576
0.001266330,-98.430000000,13.781326347
0.001266575,-98.420000000,13.781326119
0.001266822,-98.410000000,13.781325889
0.001267069,-98.400000000,13.781325660
0.001267316,-98.390000000,13.781325430
0.001267564,-98.380000000,13.781325200
0.001267811,-98.370000000,13.781324971
0.001268058,-98.360000000,13.781324741
0.001268305,-98.350000000,13.781324511
0.001268553,-98.340000000,13.781324281
0.001268801,-98.330000000,13.781324050
0.001269049,-98.320000000,13.781323820
0.001269296,-98.310000000,13.781323590
0.001269544,-98.300000000,13.781323360
0.001269791,-98.290000000,13.781323129
0.001270039,-98.280000000,13.781322899
0.001270288,-98.270000000,13.781322668
0.001270536,-98.260000000,13.781322437
0.001270783,-98.250000000,13.781322207
0.001271031,-98.240000000,13.781321976
