clusID,sersicn,ID
1561636,4.297,1613379
1561636,-9.0,1613382
1561636,1.415,1613383
1561636,1.198,1613384
1561636,0.874,1613390
1561636,0.783,1613393
1561636,1.085,1613394
1561636,1.214,1613395
1561636,1.78,1613398
1561636,1.268,1613399
1561636,1.267,1613400
1561636,1.265,1613403
1561636,1.012,1613420
1561636,0.951,1613445
1561636,1.174,1613460
1561636,0.732,1613463
1581385,1.462,1634278
1581385,0.727,1634281
1581385,1.226,1634284
1581385,0.423,1634288
1581385,0.644,1634289
1581385,-9.0,1634290
1581385,1.09,1634292
1581385,1.309,1634294
1581385,0.466,1634295
1581385,1.411,1634298
1581385,-9.0,1634299
1581385,1.202,1634300
1581385,1.437,1634305
1581385,0.888,1634307
1581385,0.407,1634309
1581385,0.898,1634313
1581385,1.04,1634316
1581385,0.51,1634317
1581385,1.009,1634326
1581385,1.235,1634334
1581385,1.46,1634361
1664541,2.752,1721217
1664541,1.035,1721220
1664541,0.809,1721221
1664541,0.991,1721222
1664541,0.972,1721224
1664541,0.884,1721225
1664541,1.28,1721226
1664541,0.999,1721227
1664541,0.702,1721228
1664541,1.261,1721229
1664541,1.384,1721233
1664541,0.916,1721236
1664541,1.265,1721237
1664541,0.866,1721238
1664541,0.974,1721240
1664541,-9.0,1721241
1664541,1.524,1721242
1664541,0.797,1721252
1664541,1.194,1721254
1664541,1.106,1721256
1664541,1.402,1721258
1664541,1.033,1721266
1664541,1.059,1721272
1664541,1.327,1721276
1758257,1.322,1819428
1758257,1.282,1819433
1758257,-9.0,1819434
1758257,-9.0,1819437
1758257,0.493,1819438
1758257,1.109,1819439
1758257,0.381,1819440
1758257,0.979,1819442
1758257,1.405,1819446
1758257,1.062,1819447
1758257,1.413,1819449
1758257,1.313,1819450
1758257,0.832,1819451
1758257,0.61,1819452
1758257,1.305,1819456
1758257,0.418,1819460
1758257,1.368,1819461
1758257,0.972,1819462
1758257,1.586,1819479
1758257,0.687,1819482
1758257,1.237,1819489
1758257,0.351,1819492
1758257,0.9,1819493
1758257,0.899,1819500
1758257,1.333,1819502
1758257,1.169,1819505
1758257,0.475,1819512
1758257,1.257,1819518
1758257,1.141,1819527
1758257,1.529,1819536
1758257,1.069,1819539
