HostHaloID,LastClus
215083,7265710
526842,3945090
541990,7265698
613916,1847383
621398,4968706
675209,1664541
686102,5033760
696406,2592446
1038674,6957056
1045853,5634590
1176117,6515835
1200185,4081915
1229910,5044774
1335975,4560890
1491429,7265693
1557964,4195553
1642429,3651767
1696902,4622511
1696908,6907470
1839802,7265709
1851219,7142193
1855993,6904035
1924080,6163362
1936020,4549606
2216697,6981495
2230454,7045189
2245355,5462023
2250895,6143068
2265862,4827650
2570117,2944981
2650230,4226110
2696280,4481843
2697380,5548455
2753837,5520106
